    52/799        0G   0.04778    0.1243         0    0.1721       893       640    0.5622    0.4017    0.3659    0.1231   0.08685    0.5045         0
    53/799        0G    0.0442    0.1205         0    0.1647       782       640     0.595    0.3732    0.3585    0.1241   0.08479    0.5007         0
    54/799        0G   0.04364    0.1239         0    0.1675       581       640    0.6204    0.3852    0.3697    0.1271   0.08302    0.4937         0
    55/799        0G   0.04424    0.1158         0    0.1601       733       640    0.5638    0.4208    0.3818    0.1311   0.08394    0.4878         0
    56/799        0G   0.04483    0.1264         0    0.1712      1146       640    0.6817    0.3562    0.3739    0.1248   0.08435    0.5059         0
    57/799        0G   0.04272    0.1161         0    0.1588       345       640    0.5559    0.4013    0.3669    0.1237   0.08433    0.5075         0
    58/799        0G   0.04301    0.1152         0    0.1582       762       640    0.5489    0.4158     0.368    0.1295   0.08315    0.5195         0
    59/799        0G    0.0425    0.1233         0    0.1658       684       640    0.6421    0.4002    0.3891     0.131   0.08352    0.5067         0
    60/799        0G   0.04653    0.1217         0    0.1682       839       640    0.6189    0.4047    0.3841     0.127     0.084    0.5179         0
    61/799        0G   0.04221    0.1241         0    0.1663       871       640    0.5677    0.3939    0.3643    0.1297   0.08384    0.5148         0
    62/799        0G   0.04363    0.1178         0    0.1615      1180       640    0.5134    0.4109    0.3607    0.1234   0.08602    0.5204         0
    63/799        0G   0.04468    0.1169         0    0.1615      1095       640    0.5579    0.3871    0.3591    0.1231   0.08628    0.5291         0
    64/799        0G    0.0461    0.1212         0    0.1673       677       640    0.5718    0.4031    0.3808    0.1321    0.0827    0.5078         0
    65/799        0G   0.04259    0.1187         0    0.1613       656       640    0.5492    0.3956    0.3617    0.1295   0.08357    0.5074         0
    66/799        0G   0.04371    0.1137         0    0.1574       666       640    0.6014    0.3845    0.3713     0.128   0.08253    0.5001         0
    67/799        0G    0.0428    0.1201         0    0.1629      1067       640    0.5993    0.3891    0.3821    0.1321   0.08225    0.5137         0
    68/799        0G   0.04257    0.1235         0     0.166       637       640    0.5757    0.4055    0.3798    0.1354    0.0835    0.5189         0
    69/799        0G   0.04153     0.126         0    0.1675       789       640    0.5695    0.4021    0.3739    0.1284   0.08424    0.5112         0
    70/799        0G    0.0444    0.1207         0    0.1651       661       640    0.6277     0.391    0.3852    0.1309   0.08348    0.4976         0
    71/799        0G   0.04287    0.1306         0    0.1734      1012       640    0.5704    0.3692    0.3468    0.1163    0.0849    0.5013         0
    72/799        0G   0.04285    0.1245         0    0.1674       533       640    0.6183    0.4063    0.3887    0.1343   0.08467    0.5041         0
    73/799        0G   0.04268    0.1209         0    0.1636       963       640    0.5199    0.3887     0.338    0.1097   0.08665    0.5178         0
    74/799        0G   0.04559    0.1178         0    0.1633       694       640    0.5955    0.4327    0.4128    0.1411   0.08551    0.4993         0
    75/799        0G   0.04248    0.1245         0     0.167       944       640    0.5701    0.4409    0.4015      0.14   0.08557    0.5066         0
    76/799        0G   0.04245    0.1208         0    0.1632       584       640    0.6458    0.3856    0.3845    0.1359    0.0846    0.4953         0
    77/799        0G   0.04151     0.122         0    0.1635      1264       640    0.6206    0.4028    0.3903    0.1341   0.08315    0.5034         0
    78/799        0G   0.04322    0.1126         0    0.1558       295       640    0.5947    0.3718    0.3537    0.1219   0.08532    0.5158         0
    79/799        0G   0.04261    0.1308         0    0.1735      1306       640    0.5495    0.4047    0.3662    0.1221   0.08463    0.5234         0
    80/799        0G   0.04259    0.1131         0    0.1557      1265       640    0.5798    0.4097    0.3839    0.1302   0.08518    0.5147         0
    81/799        0G   0.04005    0.1193         0    0.1593       552       640    0.6215    0.3964    0.3807    0.1331   0.08458    0.5112         0
    82/799        0G     0.042    0.1196         0    0.1616       442       640    0.6303    0.3795    0.3678    0.1279    0.0844    0.5084         0
    83/799        0G   0.04229    0.1186         0    0.1609       683       640    0.6438    0.3607    0.3556    0.1212   0.08474    0.5122         0
    84/799        0G   0.04216     0.118         0    0.1602      1293       640    0.6101    0.3843    0.3756    0.1262   0.08423    0.4977         0
    85/799        0G   0.04124    0.1258         0    0.1671      1121       640    0.6015    0.4262    0.4083    0.1412   0.08444    0.4926         0
    86/799        0G    0.0405    0.1176         0    0.1581       476       640     0.587    0.3852    0.3707    0.1316     0.085    0.5219         0
    87/799        0G   0.04119     0.113         0    0.1542       732       640    0.6293    0.3849    0.3822    0.1313   0.08385    0.5251         0
    88/799        0G   0.04256    0.1223         0    0.1649      1862       640    0.6234    0.3416    0.3296     0.109   0.08642    0.5304         0
    89/799        0G   0.04179    0.1146         0    0.1564       763       640    0.5754    0.3879     0.359    0.1225   0.08558    0.5365         0
    90/799        0G   0.04071    0.1224         0    0.1631       786       640    0.6073    0.4178    0.3985    0.1407   0.08374    0.5044         0
    91/799        0G   0.04062    0.1179         0    0.1585      1625       640    0.6038    0.4254    0.4004    0.1347   0.08388    0.5041         0
    92/799        0G   0.04101    0.1158         0    0.1568      1104       640     0.632    0.4055     0.388    0.1321   0.08445    0.5029         0
    93/799        0G   0.03988    0.1056         0    0.1455       783       640    0.5717    0.4181    0.3813    0.1334   0.08416    0.5189         0
    94/799        0G   0.04117    0.1136         0    0.1548       648       640    0.6669    0.3814    0.3797    0.1307   0.08472    0.5192         0
    95/799        0G   0.04061    0.1176         0    0.1582       721       640    0.6689    0.3717    0.3722    0.1257   0.08449    0.5127         0
    96/799        0G   0.04194    0.1156         0    0.1575       769       640    0.5795     0.404    0.3807    0.1292   0.08524    0.5152         0
    97/799        0G   0.03995    0.1104         0    0.1503       635       640     0.635    0.3993    0.3927    0.1364   0.08404    0.5071         0
    98/799        0G   0.04137     0.111         0    0.1524       488       640    0.5989    0.4327    0.4047    0.1334   0.08434    0.4985         0
    99/799        0G   0.04146    0.1205         0     0.162      1299       640     0.626    0.4189    0.4013    0.1368   0.08423    0.5037         0
   100/799        0G   0.04146    0.1191         0    0.1606      1165       640    0.6368    0.4272     0.405    0.1378   0.08513    0.5186         0
   101/799        0G    0.0404    0.1123         0    0.1527       547       640    0.6216     0.423    0.3981    0.1382   0.08509    0.5227         0
   102/799        0G   0.03965    0.1121         0    0.1517       674       640    0.6353    0.4024    0.3923    0.1318   0.08541    0.5227         0
   103/799        0G   0.03995    0.1199         0    0.1598       797       640    0.5858    0.4212    0.3878    0.1297   0.08497    0.5306         0
